@relation spamClassification

@attribute stdDomains numeric
@attribute meanDomains numeric
@attribute stdCountries numeric
@attribute meanCountries numeric
@attribute encodersCount numeric
@attribute clicksCount numeric
@attribute isSpam {True,False}

@data
665.0,227.2,547.3,227.2,1,2727,False
1.5,3.5,0.433,1.75,1,7,False
58.73,45.0,26.56,22.5,1,135,False
0.0,1.0,0.0,1.0,1,2,False
0.5,2.5,0.0,5.0,1,5,False
202.7,179.2,48.76,16.67,1,717,False
145.5,189.5,65.91,15.16,2,511,False
0.0,4.0,0.0,4.0,17,4,False
110.0,99.8,165.6,41.58,1,1088,False
0.0,1.0,0.0,1.0,1,2,True
15.92,23.33,10.59,4.667,1,69,True
4.165e+03,1.363e+03,1.996e+03,711.3,1,16382,False
44.95,47.0,34.22,14.1,2,141,False
1.5,2.5,1.491,1.667,1,10,False
374.0,288.7,333.0,173.2,1,866,False
25.93,19.33,16.34,9.667,2,58,False
0.0,13.0,0.0,13.0,2,13,False
0.0,8.0,0.0,8.0,11,8,False
1.085e+03,213.7,752.5,288.0,8,6624,False
2.0,3.0,2.0,3.0,1,7,False
255.2,304.0,116.6,38.0,1,961,False
0.0,2.0,0.0,2.0,2,2,False
